"cvegeo","anio","indicador","valor_indicador"
31074,2010,"pobreza_moderada",56.2
31075,2010,"pobreza_moderada",44
31076,2010,"pobreza_moderada",49.2
31077,2010,"pobreza_moderada",55.5
31078,2010,"pobreza_moderada",51.5
31079,2010,"pobreza_moderada",49
31080,2010,"pobreza_moderada",55.2
31081,2010,"pobreza_moderada",39
31082,2010,"pobreza_moderada",47.5
31083,2010,"pobreza_moderada",37.4
31084,2010,"pobreza_moderada",48.2
31085,2010,"pobreza_moderada",53.6
31086,2010,"pobreza_moderada",38.3
31087,2010,"pobreza_moderada",51.5
31088,2010,"pobreza_moderada",43.7
31089,2010,"pobreza_moderada",50
31090,2010,"pobreza_moderada",45.3
31091,2010,"pobreza_moderada",44.6
31092,2010,"pobreza_moderada",35.9
31093,2010,"pobreza_moderada",36.5
31094,2010,"pobreza_moderada",48
31095,2010,"pobreza_moderada",32.8
31096,2010,"pobreza_moderada",48.7
31097,2010,"pobreza_moderada",42.7
31098,2010,"pobreza_moderada",48.5
31099,2010,"pobreza_moderada",40.9
31100,2010,"pobreza_moderada",44.8
31101,2010,"pobreza_moderada",38.3
31102,2010,"pobreza_moderada",45.1
31103,2010,"pobreza_moderada",53.9
31104,2010,"pobreza_moderada",46.9
31105,2010,"pobreza_moderada",49.8
31106,2010,"pobreza_moderada",37.3
31001,2015,"pobreza_moderada",39.7
31002,2015,"pobreza_moderada",39.7
31003,2015,"pobreza_moderada",46.6
31004,2015,"pobreza_moderada",41.3
31005,2015,"pobreza_moderada",25.3
31006,2015,"pobreza_moderada",57.8
31007,2015,"pobreza_moderada",48.5
31008,2015,"pobreza_moderada",55.7
31009,2015,"pobreza_moderada",48
31010,2015,"pobreza_moderada",51
31011,2015,"pobreza_moderada",61.2
31012,2015,"pobreza_moderada",59.1
31013,2015,"pobreza_moderada",25
31014,2015,"pobreza_moderada",43.6
31015,2015,"pobreza_moderada",55
31016,2015,"pobreza_moderada",52.1
31017,2015,"pobreza_moderada",52.2
31018,2015,"pobreza_moderada",47.7
31019,2015,"pobreza_moderada",48.2
31020,2015,"pobreza_moderada",46.4
31021,2015,"pobreza_moderada",47.7
31022,2015,"pobreza_moderada",54.3
31023,2015,"pobreza_moderada",44.7
31024,2015,"pobreza_moderada",56.3
31025,2015,"pobreza_moderada",60.2
31026,2015,"pobreza_moderada",43.5
31027,2015,"pobreza_moderada",40.8
31028,2015,"pobreza_moderada",41.1
31029,2015,"pobreza_moderada",57.6
31030,2015,"pobreza_moderada",53.4
31031,2015,"pobreza_moderada",50.3
31032,2015,"pobreza_moderada",49.8
31033,2015,"pobreza_moderada",44.6
31034,2015,"pobreza_moderada",54.5
31035,2015,"pobreza_moderada",51.6
31036,2015,"pobreza_moderada",53.1
31037,2015,"pobreza_moderada",59.3
31038,2015,"pobreza_moderada",45.6
31039,2015,"pobreza_moderada",47.3
31040,2015,"pobreza_moderada",41.9
31041,2015,"pobreza_moderada",35.8
31042,2015,"pobreza_moderada",53.2
31043,2015,"pobreza_moderada",55.7
31044,2015,"pobreza_moderada",52.3
31045,2015,"pobreza_moderada",38.1
31046,2015,"pobreza_moderada",58.7
31047,2015,"pobreza_moderada",55.1
31048,2015,"pobreza_moderada",36.2
31049,2015,"pobreza_moderada",56.6
31050,2015,"pobreza_moderada",21.1
31051,2015,"pobreza_moderada",27.9
31052,2015,"pobreza_moderada",40.4
31053,2015,"pobreza_moderada",47.8
31054,2015,"pobreza_moderada",34.2
31055,2015,"pobreza_moderada",51.5
31056,2015,"pobreza_moderada",45.9
31057,2015,"pobreza_moderada",55.3
31058,2015,"pobreza_moderada",48.4
31059,2015,"pobreza_moderada",34.4
31060,2015,"pobreza_moderada",42.6
31061,2015,"pobreza_moderada",21.4
31062,2015,"pobreza_moderada",50.4
31063,2015,"pobreza_moderada",43
31064,2015,"pobreza_moderada",41.9
31065,2015,"pobreza_moderada",17.8
31066,2015,"pobreza_moderada",54.9
31067,2015,"pobreza_moderada",55.1
31068,2015,"pobreza_moderada",54.6
31069,2015,"pobreza_moderada",54.4
31070,2015,"pobreza_moderada",55.6
31071,2015,"pobreza_moderada",38
31072,2015,"pobreza_moderada",45.4
31073,2015,"pobreza_moderada",46.1
31074,2015,"pobreza_moderada",57.9
31075,2015,"pobreza_moderada",52.4
31076,2015,"pobreza_moderada",43.9
31077,2015,"pobreza_moderada",57.2
31078,2015,"pobreza_moderada",55.2
31079,2015,"pobreza_moderada",43.3
31080,2015,"pobreza_moderada",56.3
31081,2015,"pobreza_moderada",54.2
31082,2015,"pobreza_moderada",49
31083,2015,"pobreza_moderada",33.3
31084,2015,"pobreza_moderada",53.6
31085,2015,"pobreza_moderada",51.8
31086,2015,"pobreza_moderada",42.9
31087,2015,"pobreza_moderada",48.7
31088,2015,"pobreza_moderada",46
31089,2015,"pobreza_moderada",45.9
31090,2015,"pobreza_moderada",46
31091,2015,"pobreza_moderada",50.4
31092,2015,"pobreza_moderada",48.5
31093,2015,"pobreza_moderada",33.3
31094,2015,"pobreza_moderada",47.7
31095,2015,"pobreza_moderada",37.7
31096,2015,"pobreza_moderada",46.5
31097,2015,"pobreza_moderada",46.4
31098,2015,"pobreza_moderada",50.4
31099,2015,"pobreza_moderada",49.1
31100,2015,"pobreza_moderada",40.8
31101,2015,"pobreza_moderada",32.9
31102,2015,"pobreza_moderada",42.3
31103,2015,"pobreza_moderada",55.8
31104,2015,"pobreza_moderada",50.4
31105,2015,"pobreza_moderada",48.9
31106,2015,"pobreza_moderada",41.8
31001,2010,"pobreza_extrema",19.6
31002,2010,"pobreza_extrema",10.6
31003,2010,"pobreza_extrema",26.2
31004,2010,"pobreza_extrema",11.4
31005,2010,"pobreza_extrema",8.2
31006,2010,"pobreza_extrema",27.8
31007,2010,"pobreza_extrema",9.4
31008,2010,"pobreza_extrema",37.2
31009,2010,"pobreza_extrema",20.4
